Date (DD.MM.YYYY);Index Code;Endeksler;Index Names In English;Number of Days;Value
29.01.2016;XU100;BIST 100;BIST 100;42;22.83
29.01.2016;XU100;BIST 100;BIST 100;63;22.42
29.01.2016;XU100;BIST 100;BIST 100;126;22.76
29.01.2016;XU100;BIST 100;BIST 100;252;22.55
01.02.2016;XU100;BIST 100;BIST 100;21;18.26
01.02.2016;XU100;BIST 100;BIST 100;42;22.81
01.02.2016;XU100;BIST 100;BIST 100;63;22.37
01.02.2016;XU100;BIST 100;BIST 100;126;22.56
01.02.2016;XU100;BIST 100;BIST 100;252;22.53
02.02.2016;XU100;BIST 100;BIST 100;21;17.81
02.02.2016;XU100;BIST 100;BIST 100;42;22.83
02.02.2016;XU100;BIST 100;BIST 100;63;22.36
02.02.2016;XU100;BIST 100;BIST 100;126;22.63
02.02.2016;XU100;BIST 100;BIST 100;252;22.43
03.02.2016;XU100;BIST 100;BIST 100;21;18.08
03.02.2016;XU100;BIST 100;BIST 100;42;22.68
03.02.2016;XU100;BIST 100;BIST 100;63;22.47
03.02.2016;XU100;BIST 100;BIST 100;126;22.68
03.02.2016;XU100;BIST 100;BIST 100;252;22.39
04.02.2016;XU100;BIST 100;BIST 100;21;18.71
04.02.2016;XU100;BIST 100;BIST 100;42;23.03
04.02.2016;XU100;BIST 100;BIST 100;63;22.67
04.02.2016;XU100;BIST 100;BIST 100;126;22.77
04.02.2016;XU100;BIST 100;BIST 100;252;22.46
05.02.2016;XU100;BIST 100;BIST 100;21;18.81
05.02.2016;XU100;BIST 100;BIST 100;42;22.88
05.02.2016;XU100;BIST 100;BIST 100;63;22.66
05.02.2016;XU100;BIST 100;BIST 100;126;22.77
05.02.2016;XU100;BIST 100;BIST 100;252;22.44
08.02.2016;XU100;BIST 100;BIST 100;21;21.20
08.02.2016;XU100;BIST 100;BIST 100;42;23.50
08.02.2016;XU100;BIST 100;BIST 100;63;23.29
08.02.2016;XU100;BIST 100;BIST 100;126;23.10
08.02.2016;XU100;BIST 100;BIST 100;252;22.63
09.02.2016;XU100;BIST 100;BIST 100;21;21.33
09.02.2016;XU100;BIST 100;BIST 100;42;22.42
09.02.2016;XU100;BIST 100;BIST 100;63;23.26
09.02.2016;XU100;BIST 100;BIST 100;126;22.75
09.02.2016;XU100;BIST 100;BIST 100;252;22.58
10.02.2016;XU100;BIST 100;BIST 100;21;21.09
10.02.2016;XU100;BIST 100;BIST 100;42;21.26
10.02.2016;XU100;BIST 100;BIST 100;63;23.24
10.02.2016;XU100;BIST 100;BIST 100;126;22.60
10.02.2016;XU100;BIST 100;BIST 100;252;22.58
11.02.2016;XU100;BIST 100;BIST 100;21;20.96
11.02.2016;XU100;BIST 100;BIST 100;42;21.11
11.02.2016;XU100;BIST 100;BIST 100;63;23.28
11.02.2016;XU100;BIST 100;BIST 100;126;22.56
11.02.2016;XU100;BIST 100;BIST 100;252;22.37
12.02.2016;XU100;BIST 100;BIST 100;21;20.82
12.02.2016;XU100;BIST 100;BIST 100;42;18.67
12.02.2016;XU100;BIST 100;BIST 100;63;23.23
12.02.2016;XU100;BIST 100;BIST 100;126;22.55
12.02.2016;XU100;BIST 100;BIST 100;252;22.37
15.02.2016;XU100;BIST 100;BIST 100;21;20.41
15.02.2016;XU100;BIST 100;BIST 100;42;18.52
15.02.2016;XU100;BIST 100;BIST 100;63;23.23
15.02.2016;XU100;BIST 100;BIST 100;126;22.55
15.02.2016;XU100;BIST 100;BIST 100;252;22.37
16.02.2016;XU100;BIST 100;BIST 100;21;20.41
16.02.2016;XU100;BIST 100;BIST 100;42;18.25
16.02.2016;XU100;BIST 100;BIST 100;63;23.20
16.02.2016;XU100;BIST 100;BIST 100;126;22.48
16.02.2016;XU100;BIST 100;BIST 100;252;22.29
17.02.2016;XU100;BIST 100;BIST 100;21;22.21
17.02.2016;XU100;BIST 100;BIST 100;42;18.91
17.02.2016;XU100;BIST 100;BIST 100;63;23.85
17.02.2016;XU100;BIST 100;BIST 100;126;22.75
17.02.2016;XU100;BIST 100;BIST 100;252;22.41
18.02.2016;XU100;BIST 100;BIST 100;21;20.90
18.02.2016;XU100;BIST 100;BIST 100;42;18.81
18.02.2016;XU100;BIST 100;BIST 100;63;23.92
18.02.2016;XU100;BIST 100;BIST 100;126;22.76
18.02.2016;XU100;BIST 100;BIST 100;252;22.40
19.02.2016;XU100;BIST 100;BIST 100;21;20.20
19.02.2016;XU100;BIST 100;BIST 100;42;18.85
19.02.2016;XU100;BIST 100;BIST 100;63;23.85
19.02.2016;XU100;BIST 100;BIST 100;126;22.72
19.02.2016;XU100;BIST 100;BIST 100;252;22.38
22.02.2016;XU100;BIST 100;BIST 100;21;20.36
22.02.2016;XU100;BIST 100;BIST 100;42;19.59
22.02.2016;XU100;BIST 100;BIST 100;63;22.77
22.02.2016;XU100;BIST 100;BIST 100;126;22.49
22.02.2016;XU100;BIST 100;BIST 100;252;22.51
23.02.2016;XU100;BIST 100;BIST 100;21;20.43
23.02.2016;XU100;BIST 100;BIST 100;42;19.68
23.02.2016;XU100;BIST 100;BIST 100;63;22.78
23.02.2016;XU100;BIST 100;BIST 100;126;22.12
23.02.2016;XU100;BIST 100;BIST 100;252;22.52
24.02.2016;XU100;BIST 100;BIST 100;21;21.07
24.02.2016;XU100;BIST 100;BIST 100;42;20.24
24.02.2016;XU100;BIST 100;BIST 100;63;22.58
24.02.2016;XU100;BIST 100;BIST 100;126;22.29
24.02.2016;XU100;BIST 100;BIST 100;252;22.60
25.02.2016;XU100;BIST 100;BIST 100;21;21.57
25.02.2016;XU100;BIST 100;BIST 100;42;20.58
25.02.2016;XU100;BIST 100;BIST 100;63;22.73
25.02.2016;XU100;BIST 100;BIST 100;126;22.27
25.02.2016;XU100;BIST 100;BIST 100;252;22.64
26.02.2016;XU100;BIST 100;BIST 100;21;21.63
26.02.2016;XU100;BIST 100;BIST 100;42;20.57
26.02.2016;XU100;BIST 100;BIST 100;63;22.71
26.02.2016;XU100;BIST 100;BIST 100;126;22.28
26.02.2016;XU100;BIST 100;BIST 100;252;22.55
29.02.2016;XU100;BIST 100;BIST 100;21;21.45
29.02.2016;XU100;BIST 100;BIST 100;42;20.60
29.02.2016;XU100;BIST 100;BIST 100;63;22.46
29.02.2016;XU100;BIST 100;BIST 100;126;22.31
29.02.2016;XU100;BIST 100;BIST 100;252;22.58
01.03.2016;XU100;BIST 100;BIST 100;21;21.44
01.03.2016;XU100;BIST 100;BIST 100;42;19.92
01.03.2016;XU100;BIST 100;BIST 100;63;22.44
01.03.2016;XU100;BIST 100;BIST 100;126;22.09
01.03.2016;XU100;BIST 100;BIST 100;252;22.58
02.03.2016;XU100;BIST 100;BIST 100;21;21.01
02.03.2016;XU100;BIST 100;BIST 100;42;19.51
02.03.2016;XU100;BIST 100;BIST 100;63;22.41
02.03.2016;XU100;BIST 100;BIST 100;126;22.14
02.03.2016;XU100;BIST 100;BIST 100;252;22.45
03.03.2016;XU100;BIST 100;BIST 100;21;20.84
03.03.2016;XU100;BIST 100;BIST 100;42;19.52
03.03.2016;XU100;BIST 100;BIST 100;63;22.17
03.03.2016;XU100;BIST 100;BIST 100;126;22.13
03.03.2016;XU100;BIST 100;BIST 100;252;22.39
04.03.2016;XU100;BIST 100;BIST 100;21;20.23
04.03.2016;XU100;BIST 100;BIST 100;42;19.49
04.03.2016;XU100;BIST 100;BIST 100;63;22.16
04.03.2016;XU100;BIST 100;BIST 100;126;22.04
04.03.2016;XU100;BIST 100;BIST 100;252;22.39
07.03.2016;XU100;BIST 100;BIST 100;21;20.13
07.03.2016;XU100;BIST 100;BIST 100;42;19.48
07.03.2016;XU100;BIST 100;BIST 100;63;22.04
